response,parameter,mean,sd,low,median,high,Rhat,n.eff,prob_positive
cv,a[1],0.0896332584598,0.06447449296235717,-0.0379669875,0.09076134999999999,0.21738767499999984,1,1756,0.914
cv,a[2],0.0127464267478,0.08632228548959182,-0.1522244,0.009324585,0.19054217499999998,1,1620,0.5453333333333333
cv,a[3],-0.05954786291973333,0.08107816377562684,-0.23105884999999998,-0.0557144,0.09508244999999985,1,1401,0.22866666666666666
cv,a[4],0.22479061851,0.09563142034964972,0.035529815000000006,0.223214,0.4122820749999996,1,1258,0.992
cv,a[5],-0.11878336682666665,3.310444887677705,-6.43651225,-0.191361,6.2119814999999985,1,1500,0.47733333333333333
cv,b[1],-1.2748932606666667,0.07066706108324784,-1.41213625,-1.2759399999999999,-1.1333955000000002,1,1500,0
cv,b[2],0.18827121170666666,0.07504002946726078,0.0446311175,0.185954,0.3395974999999999,1,1500,0.996
cv,b[3],0.11192884908733333,0.09437582858532667,-0.0739424225,0.10631850000000001,0.30091984999999966,1,1515,0.8946666666666667
cv,sigma,0.56422727,0.049021907995461,0.4747694,0.561402,0.6675578,1,1500,1
cv,sigma_r,0.190401042538,0.10661927142985006,0.0156735125,0.18544549999999999,0.412898375,1,1766,1
cv,b_raw[1],-1.4239473666666667,0.09338178214310881,-1.60597025,-1.4223249999999998,-1.24634325,1,1500,0
cv,b_raw[2],0.002450673579533333,9.767751968161801e-4,5.80950975e-4,0.002420515,0.004420441999999998,1,1500,0.996
mu,a[1],-0.22382059362666668,0.07224766694083225,-0.36642644999999996,-0.223525,-0.08251703250000003,1,1639,0.002
mu,a[2],0.3962615931333333,0.12230129027615097,0.16338344999999999,0.394251,0.6455285,1,1351,1
mu,a[3],-0.11192662328466667,0.11563519812493016,-0.341447325,-0.11077200000000001,0.11672794999999997,1,1500,0.15733333333333333
mu,a[4],-0.0686600921682,0.13023300726001816,-0.327011475,-0.0635162,0.17564867499999992,1,1500,0.31333333333333335
mu,a[5],0.019626144113333334,3.197597492447671,-6.0512,-0.052697350000000004,6.661524249999993,1,1721,0.49333333333333335
mu,b[1],-1.063402622,0.10998878532340041,-1.288576,-1.06024,-0.85442865,1,1500,0
mu,b[2],-0.24878014813066668,0.11690600277929568,-0.487764725,-0.24326199999999998,-0.02493029750000016,1,1500,0.014
mu,b[3],-0.22015028266666667,0.14110057427626022,-0.499574125,-0.2186235,0.06477914999999998,1,1500,0.06
mu,sigma,0.55855979,0.05200864860572482,0.46902394999999997,0.5536425,0.6742086749999999,1,1500,1
mu,sigma_r,0.49403458056666666,0.11590001344716398,0.28280922499999994,0.4882035,0.7339150999999997,1,1430,1
mu,b_raw[1],-0.8664436266666666,0.14382042842459056,-1.151519,-0.8708225,-0.574787175,1,1519,0
mu,b_raw[2],-0.003238301725806667,0.0015217327989356724,-0.006349095250000001,-0.003166475,-3.245108000000021e-4,1,1500,0.014
sigma,a[1],-0.12819889898733333,0.09049415849738504,-0.307244125,-0.129874,0.048548459999999904,1,1484,0.08066666666666666
sigma,a[2],0.3973843062,0.14854098502503893,0.13763825,0.390918,0.7109403000000001,1,1500,0.9966666666666667
sigma,a[3],-0.17355345384533333,0.13688581314162138,-0.464267575,-0.165654,0.07673066499999975,1,1500,0.08533333333333333
sigma,a[4],0.18317977882266667,0.15002736232538907,-0.11551402499999999,0.18199100000000001,0.4736525499999998,1,1431,0.8913333333333333
sigma,a[5],-0.08392649362733333,3.186509168008027,-6.26387725,-0.1822435,6.111044249999994,1,1528,0.48133333333333334
sigma,b[1],-2.330519246666667,0.1178136539492363,-2.5731912500000003,-2.327035,-2.1020122500000005,1,1500,0
sigma,b[2],-0.0579640135068,0.12650170508224662,-0.30766352500000005,-0.05955275,0.1822374,1,1500,0.32066666666666666
sigma,b[3],-0.0988153342238,0.15832814216976243,-0.399452575,-0.103006,0.21820137499999953,1,2429,0.25466666666666665
sigma,sigma,0.7524824346666666,0.0744582918323952,0.62229175,0.7431715,0.9226326249999999,1,1639,1
sigma,sigma_r,0.44499009067333334,0.193158795557473,0.057069919999999996,0.4501445,0.8166866249999996,1,1363,1
sigma,b_raw[1],-2.28462924,0.15702415833162606,-2.606631,-2.284065,-1.9799900000000004,1,1749,0
sigma,b_raw[2],-7.545013903033334e-4,0.0016466373826469014,-0.004004774250000001,-7.751815e-4,0.00237213525,1,1500,0.32066666666666666
