id,river,site,area,frac_forest,frac_urban,frac_agri,temp,ppt
1,atsuta,1,16.2405000000044,1,0,0,7.1000000000000005,1357
2,atsuta,2,38.3697000000058,0.9753251626543564,0,0,8.1,1185
3,atsuta,3,8.41589999999997,1,0,0,7,1504
4,atsuta,4,23.1741000000045,1,0,0,7.6000000000000005,1243
5,atsuta,5,3.3938999999999,1,0,0,7,1543
6,chihase,1,10.7405999999999,0.9311197043414273,0,0,8.6,1061
7,chihase,2,12.0689999999994,0.6728857800197563,0,0,9.1,1090
8,furuu,1,16.0379999999994,0.8673340955432255,0,0,8.4,1244
9,furuu,2,17.7390000000026,0.9436270365386094,0,0,7.9,1424
10,furuu,3,29.9861999999997,0.8090144775732812,0,0,8.1,1242
11,furuu,4,51.5807999999945,0.8448897913246936,0,0,8.4,1244
12,furuu,5,77.3226000000014,0.8835953699200061,0,0,8.6,1520
13,futoro,1,13.9401000000004,0.9282645029106046,0,0,8.9,1105
14,futoro,2,36.0530999999985,0.9722631340858913,0,0,9.200000000000001,1191
15,futoro,3,197.316000000013,0.944347161881383,0,0,9.4,1258
16,futoro,4,36.749700000001,0.9727888934992694,0,0,9.200000000000001,1209
17,futoro,5,39.9249000000008,0.9749529742093753,0,0,9.3,1248
18,haraki,1,4.22010000000031,0.9995455945981679,0,0,9.1,1249
19,haraki,2,11.8746000000006,0.9836584128698938,0,0,9.5,1228
20,hidakahorobetsu,1,4.30110000000068,1,0,0,7.6000000000000005,1150
21,hidakahorobetsu,2,9.16920000000383,0.8909392315709894,0,0,7.1000000000000005,1234
22,hidakahorobetsu,3,7.6949999999977,1,0,0,7.800000000000001,1241
23,hidakahorobetsu,4,5.84820000000068,0.9671823035609504,0,0,8,1269
24,hidakahorobetsu,5,9.91439999999906,0.8991366090364435,0,0,7.300000000000001,1218
25,hidakahorobetsu,6,27.1917000000038,0.9264481439153427,0,0,7.5,1289
26,hime,1,14.4747000000003,1,0,0,8.9,1265
27,hime,2,23.6843999999986,0.9967046673732992,0,0,9.600000000000001,1230
28,hime,3,28.673999999999,0.9238778773810087,0,0,9.9,1187
29,hime,4,19.051199999997,1,0,0,9.4,1253
30,hime,5,26.5436999999977,0.9614070787561679,0,0,9.700000000000001,1213
31,horonai,1,3.64499999999996,0.8322086262032179,0,0,7,947
32,horonai,2,6.43139999999727,0.7591026483639057,0,0,7.2,941
33,ishizaki,1,58.7168999999984,0.9898130477006906,0,0,9,1152
34,ishizaki,2,70.9398000000013,1,0,0,9.600000000000001,1210
35,ishizaki,3,150.927300000004,0.9894111518643932,0,0,9.9,1172
36,ishizaki,4,176.685299999999,0.9900976755555081,8.571675485229127e-4,0,10.200000000000001,1294
37,ishizaki,5,140.389200000006,0.9957393712670116,0,0,9.8,1213
38,kenichi,1,34.7166000000015,0.9519128352263307,0,0,8.6,1128
39,kenichi,2,54.8855999999991,0.9695835908511775,0,0,9,1164
40,kenichi,3,69.6680999999846,0.9677414664797984,0,0,9.8,1176
41,kenichi,4,17.2772999999998,1,0,0,9,1164
42,kenichi,5,5.18399999999994,1,0,0,9.1,1105
43,kenichi,6,17.5040999999996,1,0,0,9,1164
44,kenichi,7,63.3257999999951,0.9736375558436839,0,0,9.600000000000001,1139
45,kenichi,8,68.7770999999866,0.972062600377022,0,0,9.8,1176
46,kokamotsu,1,27.4913999999993,0.967548036538391,0,0,9.9,1457
47,kokamotsu,2,28.2446999999998,0.9677829332861538,0,0,10.100000000000001,1409
48,kokamotsu,3,30.7151999999996,0.9691001078887252,0,0,10.4,1315
49,masuhoro,1,9.08819999999978,0.9320817986082844,0,0,6.300000000000001,1252
50,masuhoro,2,19.8612000000011,0.9479776696875678,0,0,6.7,1107
51,masuhoro,3,14.9849999999997,1,0,0,6.5,1176
52,mogusa,1,27.1106999999987,0.9654822276736197,0,0,9.9,1463
53,mogusa,2,27.4994999999987,0.9651987144370971,0,0,9.9,1463
54,mogusa,3,28.2608999999996,0.9520049129603831,0,0,10.200000000000001,1411
55,nikanbetsu,1,12.9356999999989,1,0,0,7.4,1790
56,nikanbetsu,2,10.5866999999972,1,0,0,7.4,1694
57,nikanbetsu,3,30.7070999999967,1,0,0,8.3,1647
58,nikanbetsu,4,7.61399999999966,0.8686629895506804,0,0,8.3,1514
59,nikanbetsu,5,6.05070000000151,1,0,0,7.7,1647
60,nishibetsu,1,74.2445999999993,0.10347637296805356,0.011456383125588266,0.4008079166031915,6.9,985
61,nishibetsu,2,30.1563000000037,0.15025911073614567,0,0.3235284178091742,6.9,989
62,nishibetsu,3,15.8274000000002,0.16950174966182385,0,0.30230595418820927,6.800000000000001,993
63,nishibetsu,4,7.26570000000014,0.22438750518514877,0,0.42281121550404005,6.9,990
64,nishibetsu,5,22.1292000000029,0.23586444984791186,0.03843675242315156,0.24442877164653345,6.9,981
65,nishibetsu,6,9.89010000000503,0.3089694612694488,0,0.22192383591556755,6.800000000000001,978
66,nobusha,1,8.44829999999955,0.7742116808872901,0,0,5.2,1225
67,nobusha,2,36.9116999999902,0.9087089001123866,0,0,7.800000000000001,1211
68,nobusha,3,8.49689999999833,1,0,0,7.5,1071
69,nobusha,4,35.2592999999938,0.9044306129092767,0,0,7.4,1173
70,okushibetsu,1,35.299800000002,0.9452060245150307,0,0,5.6000000000000005,998
71,okushibetsu,2,46.6884000000036,0.9247336644348922,0,0,6.4,887
72,okushibetsu,3,15.7949999999975,0.8949163649853313,0,0.008235804232458415,6.4,881
73,onnebetsu,2,34.975800000003,0.9715935703640518,0,0,6.1000000000000005,933
74,ookamotsu,1,40.2812999999993,0.985104143583373,0,0,9.4,1367
75,ookamotsu,2,42.3629999999979,0.984539691243205,0,0,9.5,1461
76,ookamotsu,3,44.7200999999955,0.9843458420386829,0,0,10,1432
77,ookamotsu,4,43.5374999999969,0.984022907890927,0,0,9.600000000000001,1489
78,oyobe,1,9.28259999999982,0.9941604049823103,0,0,9.9,1081
79,oyobe,2,4.25250000000012,1,0,0,9.600000000000001,1163
80,oyobe,3,29.9861999999986,0.9648436073895681,0,0,10,1101
81,shakotan,1,2.8430999999997,1,0,0,7.9,1254
82,shakotan,2,15.4143000000034,0.9337505015401873,0,0,8.200000000000001,1227
83,shakotan,3,30.9338999999965,0.9336576032645593,0,0,8,1430
84,shakotan,4,4.3739999999997,1,0,0,8.4,1333
85,shakotan,5,72.9647999999972,0.9269853408217171,0,0,8.3,1411
86,shakotan,6,15.576300000003,0.934439523753139,0,0,8.200000000000001,1227
87,shakotan,7,52.1154,0.9242820813060375,0,0,8.4,1370
88,shakotan,8,43.6184999999977,0.9223082916325903,0,0,8.3,1374
89,shimonaefutoro,1,17.7632999999992,0.8997683103143596,0,0,6.5,1040
90,shimonaefutoro,2,28.2933000000019,0.9290536931603435,0,0,6.6000000000000005,1011
91,shimonaefutoro,3,11.8260000000004,0.9154405545593025,0,0,6.4,1074
92,shimonaefutoro,4,6.25320000000045,0.9964976242010377,0,0,6.300000000000001,1039
93,shimonaefutoro,5,26.3168999999964,0.9595277621883478,0,0,6.5,1028
94,shiotomari,1,8.11619999999997,0.9135326023223583,0,0,8.9,1130
95,shiotomari,2,7.71120000000045,0.9169359204861812,0,0,8.9,1130
96,shiotomari,3,13.3406999999987,0.803331337002126,0,0,9.1,1171
97,shokanbetsu,1,34.6031999999944,0.7533566259886022,0,0,6.7,1179
98,shokanbetsu,2,17.9010000000012,0.8542428622223573,0,0,6.4,1153
99,shokanbetsu,3,14.3127000000026,0.836054337717238,0,0,6.5,1211
100,sukki,1,31.6791000000021,0.7009482763124486,0,0.006294905810817191,8.8,1468
101,sukki,2,34.2873000000021,0.7211523884621462,0,0.005816058738482669,9.1,1392
102,sukki,3,29.8890000000016,0.6837145055525029,0,0.006671917787348095,8.5,1491
103,tomari,1,78.3999000000019,0.9378248661954139,0,0,8.5,1157
104,tomari,2,96.2361000000049,0.9493482770552513,0,0,9,1134
105,tomari,3,11.7612000000017,1,0,0,8.200000000000001,1126
106,toppu,1,18.8406000000059,1,0,0,8.4,1233
107,toppu,2,28.3419000000002,1,0,0,9.200000000000001,1342
108,toppu,3,15.0174000000008,0.9741661449455921,0,0,9.200000000000001,1375
109,toshibetsu,1,11.5506000000002,0.9179081579736428,0,0,8.5,1231
110,toshibetsu,2,25.6608000000047,0.9630483059808937,0,0,8.8,1196
111,toshibetsu,3,26.8758000000056,0.9640199276135017,0,0,8.9,1187
112,toshibetsu,4,11.4696000000003,0.6348901482559828,0,0,6.6000000000000005,1251
113,toshibetsu,5,35.6238000000012,0.882447577867815,0,0,9,1180
114,usubetsu,1,28.9089000000013,0.9654085765689039,0,0,8.8,1312
115,usubetsu,2,7.07130000000004,0.8805907807934099,0,0,9.3,1159
116,usubetsu,3,3.48300000000064,1,0,0,8.8,1252
117,utabetsu,1,7.11180000000238,0.8908720927322265,0,0,8.1,1851
118,utabetsu,2,3.05370000000049,0.6315083697753482,0,0,8.4,1791
119,utabetsu,3,8.18909999999555,1,0,0,7.6000000000000005,1904
120,utabetsu,4,23.6925000000007,0.8984652087102679,0,0,8.700000000000001,1671
121,yamubetsu,1,15.8841000000015,0.9585990281359149,0,0,6.1000000000000005,814
122,yamubetsu,2,47.0286000000073,0.8111183179539038,0,0.06967560923972638,6.7,776
123,yamubetsu,3,61.3494000000047,0.8066552943135332,0,0.01909422218958218,6.6000000000000005,774
124,yobetsu,1,33.2667000000024,0.8518585837604274,0,0,7.800000000000001,1440
125,yobetsu,2,43.6265999999901,0.8638636841773714,0,0,8.5,1427
