river,year_release,abundance,abundance_unit,release_stage
shokanbetsu,1955,80,thousand_fish,fry
nishibetsu,1955,897,thousand_fish,fry
horonai,1955,91,thousand_fish,fry
nishibetsu,1956,595,thousand_fish,fry
nishibetsu,1957,1215,thousand_fish,fry
nishibetsu,1958,295,thousand_fish,fry
horonai,1958,0,thousand_fish,fry
nishibetsu,1959,309,thousand_fish,fry
horonai,1959,31,thousand_fish,fry
nishibetsu,1960,391,thousand_fish,fry
horonai,1960,30,thousand_fish,fry
horonai,1961,32,thousand_fish,fry
nishibetsu,1962,25,thousand_fish,fry
horonai,1962,70,thousand_fish,fry
horonai,1963,78,thousand_fish,fry
nishibetsu,1964,135,thousand_fish,fry
horonai,1964,28,thousand_fish,fry
nishibetsu,1965,2,thousand_fish,fry
nishibetsu,1966,479,thousand_fish,fry
nishibetsu,1967,1664,thousand_fish,fry
horonai,1967,22,thousand_fish,fry
nishibetsu,1968,140,thousand_fish,fry
nikanbetsu,1969,8,thousand_fish,fry
nishibetsu,1969,159,thousand_fish,fry
shiotomari,1970,200,thousand_fish,fry
nikanbetsu,1970,3,thousand_fish,fry
nishibetsu,1970,1064,thousand_fish,fry
furuu,1970,200,thousand_fish,fry
horonai,1970,5,thousand_fish,fry
shiotomari,1971,89,thousand_fish,fry
shokanbetsu,1971,111,thousand_fish,fry
nikanbetsu,1971,7,thousand_fish,fry
nishibetsu,1971,190,thousand_fish,fry
furuu,1971,100,thousand_fish,fry
masuhoro,1971,13,thousand_fish,fry
shiotomari,1972,11,thousand_fish,fry
shokanbetsu,1972,82,thousand_fish,fry
nishibetsu,1972,14,thousand_fish,fry
furuu,1972,208,thousand_fish,fry
nobusha,1973,100,thousand_fish,fry
nishibetsu,1973,717,thousand_fish,fry
furuu,1973,300,thousand_fish,fry
masuhoro,1973,11,thousand_fish,fry
shokanbetsu,1974,250,thousand_fish,fry
shiotomari,1974,0,thousand_fish,fry
nobusha,1974,150,thousand_fish,fry
nishibetsu,1974,2400,thousand_fish,fry
furuu,1974,300,thousand_fish,fry
masuhoro,1974,36,thousand_fish,fry
shokanbetsu,1975,206,thousand_fish,fry
shiotomari,1975,304,thousand_fish,fry
nobusha,1975,127,thousand_fish,fry
nishibetsu,1975,539,thousand_fish,fry
furuu,1975,200,thousand_fish,fry
masuhoro,1975,43,thousand_fish,fry
shokanbetsu,1976,41,thousand_fish,fry
onnebetsu,1976,6,thousand_fish,fry
shiotomari,1976,200,thousand_fish,fry
nikanbetsu,1976,2,thousand_fish,fry
nobusha,1976,154,thousand_fish,fry
nishibetsu,1976,355,thousand_fish,fry
furuu,1976,200,thousand_fish,fry
horonai,1976,23,thousand_fish,fry
masuhoro,1976,6,thousand_fish,fry
shokanbetsu,1977,58,thousand_fish,fry
onnebetsu,1977,105,thousand_fish,fry
shiotomari,1977,212,thousand_fish,fry
nobusha,1977,152,thousand_fish,fry
yamubetsu,1977,175,thousand_fish,fry
nishibetsu,1977,1743,thousand_fish,fry
furuu,1977,100,thousand_fish,fry
horonai,1977,22,thousand_fish,fry
okushibetsu,1977,35,thousand_fish,fry
shokanbetsu,1978,37,thousand_fish,fry
onnebetsu,1978,100,thousand_fish,fry
shiotomari,1978,60,thousand_fish,fry
kokamotsu,1978,1,thousand_fish,fry
nobusha,1978,160,thousand_fish,fry
chihase,1978,100,thousand_fish,fry
toppu,1978,2,thousand_fish,fry
yamubetsu,1978,400,thousand_fish,fry
nishibetsu,1978,490,thousand_fish,fry
furuu,1978,174,thousand_fish,fry
horonai,1978,45,thousand_fish,fry
okushibetsu,1978,47,thousand_fish,fry
onnebetsu,1979,135,thousand_fish,fry
shiotomari,1979,123,thousand_fish,fry
kokamotsu,1979,0,thousand_fish,fry
nobusha,1979,158,thousand_fish,fry
toppu,1979,25,thousand_fish,fry
yamubetsu,1979,200,thousand_fish,fry
nishibetsu,1979,170,thousand_fish,fry
furuu,1979,63,thousand_fish,fry
horonai,1979,6,thousand_fish,fry
okushibetsu,1979,30,thousand_fish,fry
shokanbetsu,1980,132,thousand_fish,fry
onnebetsu,1980,29,thousand_fish,fry
shiotomari,1980,303,thousand_fish,fry
nobusha,1980,158,thousand_fish,fry
toppu,1980,4,thousand_fish,fry
yamubetsu,1980,172,thousand_fish,fry
nishibetsu,1980,157,thousand_fish,fry
furuu,1980,112,thousand_fish,fry
shokanbetsu,1981,97,thousand_fish,fry
ishizaki,1981,301,thousand_fish,fry
usubetsu,1981,77,thousand_fish,fry
utabetsu,1981,124,thousand_fish,fry
onnebetsu,1981,52,thousand_fish,fry
ookamotsu,1981,70,thousand_fish,fry
oyobe,1981,122,thousand_fish,fry
kenichi,1981,220,thousand_fish,fry
kokamotsu,1981,40,thousand_fish,fry
shiotomari,1981,88,thousand_fish,fry
shiotomari,1981,468,thousand_fish,fry
shakotan,1981,275,thousand_fish,fry
nobusha,1981,140,thousand_fish,fry
chihase,1981,125,thousand_fish,fry
toppu,1981,94,thousand_fish,fry
toppu,1981,40,thousand_fish,fry
yamubetsu,1981,151,thousand_fish,fry
tomari,1981,125,thousand_fish,fry
nikanbetsu,1981,150,thousand_fish,fry
nishibetsu,1981,350,thousand_fish,fry
haraki,1981,37,thousand_fish,fry
hidakahorobetsu,1981,250,thousand_fish,fry
hime,1981,30,thousand_fish,fry
furuu,1981,208,thousand_fish,fry
furuu,1981,413,thousand_fish,fry
masuhoro,1981,5,thousand_fish,fry
kenichi,1981,184,thousand_fish,fry
mogusa,1981,40,thousand_fish,fry
yobetsu,1981,275,thousand_fish,fry
shokanbetsu,1982,41,thousand_fish,fry
nobusha,1982,77,thousand_fish,fry
nishibetsu,1982,3,thousand_fish,fry
nishibetsu,1982,0,thousand_fish,fry
furuu,1982,10,thousand_fish,fry
horonai,1982,1,thousand_fish,fry
kenichi,1982,3,thousand_fish,fry
shakotan,1982,320,thousand_fish,fry
yobetsu,1982,320,thousand_fish,fry
furuu,1982,410,thousand_fish,fry
tomari,1982,350,thousand_fish,fry
chihase,1982,0,thousand_fish,fry
usubetsu,1982,31,thousand_fish,fry
toppu,1982,56,thousand_fish,fry
hime,1982,41,thousand_fish,fry
ishizaki,1982,180,thousand_fish,fry
ookamotsu,1982,25,thousand_fish,fry
kokamotsu,1982,14,thousand_fish,fry
mogusa,1982,16,thousand_fish,fry
oyobe,1982,145,thousand_fish,fry
shiotomari,1982,500,thousand_fish,fry
hidakahorobetsu,1982,390,thousand_fish,fry
haraki,1982,10,thousand_fish,fry
nikanbetsu,1982,128,thousand_fish,fry
utabetsu,1982,85,thousand_fish,fry
shokanbetsu,1983,11,thousand_fish,fry
ishizaki,1983,180,thousand_fish,fry
usubetsu,1983,31,thousand_fish,fry
utabetsu,1983,85,thousand_fish,fry
onnebetsu,1983,8,thousand_fish,fry
ookamotsu,1983,25,thousand_fish,fry
oyobe,1983,145,thousand_fish,fry
kokamotsu,1983,14,thousand_fish,fry
shiotomari,1983,200,thousand_fish,fry
shiotomari,1983,500,thousand_fish,fry
shakotan,1983,320,thousand_fish,fry
nobusha,1983,98,thousand_fish,fry
chihase,1983,0,thousand_fish,fry
toppu,1983,1,thousand_fish,fry
toppu,1983,56,thousand_fish,fry
yamubetsu,1983,102,thousand_fish,fry
tomari,1983,350,thousand_fish,fry
nikanbetsu,1983,128,thousand_fish,fry
nishibetsu,1983,25,thousand_fish,fry
haraki,1983,10,thousand_fish,fry
hidakahorobetsu,1983,390,thousand_fish,fry
hime,1983,41,thousand_fish,fry
furuu,1983,410,thousand_fish,fry
horonai,1983,1,thousand_fish,fry
masuhoro,1983,2,thousand_fish,fry
mogusa,1983,16,thousand_fish,fry
yobetsu,1983,320,thousand_fish,fry
shokanbetsu,1984,55,thousand_fish,fry
ishizaki,1984,197,thousand_fish,fry
usubetsu,1984,15,thousand_fish,fry
onnebetsu,1984,5,thousand_fish,fry
ookamotsu,1984,65,thousand_fish,fry
kokamotsu,1984,45,thousand_fish,fry
shakotan,1984,33,thousand_fish,fry
nobusha,1984,90,thousand_fish,fry
yamubetsu,1984,204,thousand_fish,fry
tomari,1984,90,thousand_fish,fry
nishibetsu,1984,836,thousand_fish,fry
hidakahorobetsu,1984,10,thousand_fish,fry
furuu,1984,21,thousand_fish,fry
furuu,1984,19,thousand_fish,fry
horonai,1984,10,thousand_fish,fry
kenichi,1984,4,thousand_fish,fry
mogusa,1984,42,thousand_fish,fry
yobetsu,1984,31,thousand_fish,fry
ishizaki,1985,228,thousand_fish,fry
usubetsu,1985,50,thousand_fish,fry
ookamotsu,1985,54,thousand_fish,fry
oyobe,1985,47,thousand_fish,fry
kokamotsu,1985,39,thousand_fish,fry
shiotomari,1985,14,thousand_fish,fry
shiotomari,1985,252,thousand_fish,fry
shiotomari,1985,40,thousand_fish,fry
shakotan,1985,100,thousand_fish,fry
chihase,1985,150,thousand_fish,fry
onnebetsu,1985,1,thousand_fish,fry
toppu,1985,80,thousand_fish,fry
yamubetsu,1985,108,thousand_fish,fry
tomari,1985,185,thousand_fish,fry
nikanbetsu,1985,73,thousand_fish,fry
nishibetsu,1985,71,thousand_fish,fry
haraki,1985,58,thousand_fish,fry
hime,1985,20,thousand_fish,fry
furuu,1985,9,thousand_fish,fry
furuu,1985,90,thousand_fish,fry
horonai,1985,6,thousand_fish,fry
mogusa,1985,39,thousand_fish,fry
yobetsu,1985,70,thousand_fish,fry
shokanbetsu,1986,342,thousand_fish,fry
ishizaki,1986,550,thousand_fish,fry
usubetsu,1986,80,thousand_fish,fry
utabetsu,1986,59,thousand_fish,fry
ookamotsu,1986,80,thousand_fish,fry
oyobe,1986,80,thousand_fish,fry
kenichi,1986,554,thousand_fish,fry
kokamotsu,1986,30,thousand_fish,fry
kokamotsu,1986,80,thousand_fish,fry
shiotomari,1986,40,thousand_fish,fry
shiotomari,1986,300,thousand_fish,fry
shakotan,1986,84,thousand_fish,fry
nobusha,1986,261,thousand_fish,fry
chihase,1986,253,thousand_fish,fry
futoro,1986,220,thousand_fish,fry
toppu,1986,170,thousand_fish,fry
yamubetsu,1986,50,thousand_fish,fry
tomari,1986,210,thousand_fish,fry
nikanbetsu,1986,103,thousand_fish,fry
nishibetsu,1986,147,thousand_fish,fry
haraki,1986,60,thousand_fish,fry
hime,1986,70,thousand_fish,fry
furuu,1986,152,thousand_fish,fry
mogusa,1986,60,thousand_fish,fry
