response,parameter,mean,sd,low,median,high,Rhat,n.eff,prob_positive
cv,a[1],0.111542705926,0.06571635136126666,-0.024256605,0.1117795,0.23679632499999992,1,1500,0.9493333333333334
cv,a[2],0.0298462527792,0.08746719618967713,-0.137931825,0.02605495,0.203768775,1,1174,0.6353333333333333
cv,a[3],-0.06582995591415333,0.07745320015556711,-0.223452575,-0.06284044999999999,0.07803710999999999,1,1854,0.20066666666666666
cv,a[4],0.187109428442,0.1009664616976825,-0.001341400474999999,0.1864125,0.386839775,1,1375,0.9726666666666667
cv,a[5],-0.09737992645466667,0.07408574869197845,-0.244030775,-0.09734335,0.047801224999999725,1,1425,0.09
cv,b[1],-1.2729741266666668,0.0701193254329366,-1.411588,-1.2720349999999998,-1.1317685,1,1299,0
cv,b[2],0.16704809278266666,0.07785877154732004,0.00955344,0.166765,0.3165804499999999,1,1495,0.9806666666666667
cv,b[3],0.0746823985192,0.09633060937063413,-0.11060625,0.07225955,0.26601474999999997,1,1111,0.7773333333333333
cv,sigma,0.5673488906666667,0.04908907048033328,0.483068125,0.5653855000000001,0.671288275,1,1577,1
cv,sigma_r,0.16795332291533333,0.10866044296448299,0.0076109835,0.15775050000000002,0.40898682499999994,1,1324,1
cv,b_raw[1],-1.40522576,0.09709101345001452,-1.5883715,-1.40447,-1.2204492500000004,1,1419,0
cv,b_raw[2],0.0021744183944933334,0.0010134658226941093,1.2435425e-4,0.002170735,0.004120831249999998,1,1495,0.9806666666666667
mu,a[1],-0.2620401298466667,0.07418805518054476,-0.402945025,-0.263725,-0.10971890000000017,1,1500,6.666666666666666e-4
mu,a[2],0.34767132327333333,0.11561957448957945,0.122817025,0.34509999999999996,0.5768523749999999,1,1500,0.9986666666666667
mu,a[3],-0.08086089260833333,0.10562737130778226,-0.292892775,-0.0775055,0.11937842499999968,1,1500,0.21866666666666668
mu,a[4],0.010740977349586666,0.13796117214104356,-0.255612,0.00953195,0.2865605499999999,1,1548,0.532
mu,a[5],0.16612825911133333,0.08600944271607962,-0.004988454999999998,0.1671315,0.3388839749999999,1,1500,0.9713333333333334
mu,b[1],-1.070827274,0.10147221580633467,-1.272747,-1.0695000000000001,-0.8656838000000001,1,1525,0
mu,b[2],-0.18784919510466666,0.11422113552730047,-0.40850595,-0.1884775,0.045792349999999954,1,1594,0.050666666666666665
mu,b[3],-0.15363783861506666,0.1378754071242332,-0.42562097499999996,-0.1509145,0.10635322499999969,1,1424,0.11666666666666667
mu,sigma,0.5572743186666667,0.05312755592046849,0.465322425,0.5544370000000001,0.6736327249999998,1,1500,1
mu,sigma_r,0.4485220346666667,0.11800296263330169,0.2162957,0.44663600000000003,0.6821212249999999,1.01,1432,1
mu,b_raw[1],-0.922107304,0.13561960138094126,-1.1929210000000001,-0.9215205,-0.6465054250000003,1,1592,0
mu,b_raw[2],-0.002445180288806667,0.0014867844951753884,-0.00531740975,-0.00245336,5.960663749999995e-4,1,1594,0.050666666666666665
sigma,a[1],-0.15592556040066666,0.0994860154454089,-0.353933425,-0.1562555,0.02735998499999994,1,1486,0.056
sigma,a[2],0.37338351443333334,0.1549149827560049,0.10057699,0.359089,0.707806525,1,1500,0.9973333333333333
sigma,a[3],-0.15526798005193335,0.13805156100125676,-0.439373825,-0.153312,0.10305442499999994,1,1500,0.12066666666666667
sigma,a[4],0.23368260778666666,0.16016265915899086,-0.07706269,0.23296250000000002,0.5383573999999998,1,1422,0.9253333333333333
sigma,a[5],0.09761449082433334,0.1106340203068202,-0.10725685,0.09587365,0.31616449999999985,1,1500,0.8073333333333333
sigma,b[1],-2.33451314,0.11808451637398777,-2.5654625,-2.33663,-2.10632475,1,1500,0
sigma,b[2],-0.019995640287733332,0.12888954746548564,-0.283894,-0.017601949999999998,0.21829782499999978,1,1642,0.4493333333333333
sigma,b[3],-0.06711827970466666,0.16812342905620156,-0.3902848,-0.07007445,0.2736260999999996,1,1603,0.3393333333333333
sigma,sigma,0.7600015186666667,0.07526845814701892,0.630592625,0.7533535,0.9166636249999998,1,2006,1
sigma,sigma_r,0.447165552412,0.19100309268870932,0.0611524825,0.44291400000000003,0.8253455499999998,1,1402,1
sigma,b_raw[1],-2.31868252,0.15818349839946494,-2.6207182499999995,-2.31951,-2.0210225000000004,1,1313,0
sigma,b_raw[2],-2.602777597053333e-4,0.0016777192001062506,-0.00369536575,-2.2912e-4,0.002841523999999997,1,1642,0.4493333333333333
