response,parameter,mean,sd,low,median,high,Rhat,n.eff,prob_positive
cv,a[1],0.106365745558,0.04769333174640983,0.01219626,0.106473,0.20317592499999995,1.01,1500,0.9873333333333333
cv,a[2],-0.10979700255946667,0.06829722242384663,-0.24357737499999998,-0.109296,0.014196412499999816,1,2037,0.050666666666666665
cv,a[3],0.07641235693378666,0.06541480285897662,-0.055044395,0.07692685,0.2086953249999999,1,1500,0.8846666666666667
cv,a[4],0.012996974266666668,0.08606424436041135,-0.148936975,0.0135489,0.189831325,1,1734,0.5573333333333333
cv,a[5],-0.0551154920916,0.05553373280773461,-0.1648946,-0.05388165,0.05044064499999987,1,1500,0.15866666666666668
cv,b[1],0.8566547066666667,0.06606734826148863,0.72498815,0.8567395,0.9881699749999997,1,1472,1
cv,b[2],0.12396032518666666,0.07131725705395574,-0.014226679999999998,0.120354,0.27159382499999996,1,1500,0.9633333333333334
cv,b[3],-0.07350126048712,0.08493839356112333,-0.226732175,-0.07739655000000001,0.10087539999999998,1,1500,0.19333333333333333
cv,sigma,0.37169206666666665,0.03489883458866958,0.31019019999999997,0.36975250000000004,0.4452902249999998,1,1600,1
cv,sigma_r,0.27163695934666665,0.07280740865740094,0.142582175,0.26908750000000003,0.4264341749999997,1,1500,1
cv,b_raw[1],-6.682818828266667,4.338246940865507,-15.621020000000001,-6.48133,1.8223684999999983,1,1500,0.05533333333333333
cv,b_raw[2],0.00161355707418,9.283170057216782e-4,-1.8518434999999998e-4,0.00156662,0.0035352629999999994,1,1500,0.9633333333333334
mu,a[1],-0.0381498775168,0.030578747526723973,-0.0969077625,-0.038836350000000006,0.022885667499999915,1,1419,0.10466666666666667
mu,a[2],0.052378786036086665,0.05016564542944317,-0.0430439725,0.0516656,0.151641875,1,1462,0.8566666666666667
mu,a[3],-0.03692819390208,0.04538378029511905,-0.12668065,-0.035637749999999996,0.04614256499999997,1,1500,0.222
mu,a[4],-0.0683614617446,0.05903328851099968,-0.18315445,-0.0652834,0.04640063999999987,1,1336,0.11666666666666667
mu,a[5],-0.014053364437533333,0.03455988785641627,-0.0846737825,-0.01459765,0.055646714999999985,1,1578,0.33266666666666667
mu,b[1],0.29871043,0.04525486507003165,0.21029160000000002,0.298905,0.38851674999999997,1,1422,1
mu,b[2],-0.04166592834333333,0.04924693078391218,-0.1349048,-0.04077775,0.05096758499999997,1,1500,0.19933333333333333
mu,b[3],-0.08851429836066667,0.06133308606747341,-0.21393115000000001,-0.08754624999999999,0.028725729999999988,1,1500,0.068
mu,sigma,0.21912975666666668,0.02096547199287545,0.182356375,0.2174605,0.26466262499999993,1,1500,1
mu,sigma_r,0.21595485013333332,0.04786335905592604,0.1320476,0.212334,0.32299645,1,1395,1
mu,b_raw[1],2.8329013475,2.9957377437336428,-2.803809,2.799475,8.553110749999998,1,1500,0.8293333333333334
mu,b_raw[2],-5.423537870933333e-4,6.410336002011009e-4,-0.00175601525,-5.307924999999999e-4,6.634312249999995e-4,1,1500,0.19933333333333333
sigma,a[1],-0.0053425123188,0.019286430070136275,-0.043737504999999996,-0.0050726899999999995,0.03071446999999996,1,1586,0.386
sigma,a[2],0.02777609605568,0.029970703648519215,-0.027165737500000002,0.02686355,0.09305414499999998,1,1500,0.8193333333333334
sigma,a[3],-0.018840046054266667,0.0276581169896409,-0.074363945,-0.0169203,0.03170364249999997,1,1335,0.256
sigma,a[4],-0.017346646292333335,0.0340619936227508,-0.08636857,-0.01679635,0.049128599999999856,1,1577,0.292
sigma,a[5],-0.020847727238,0.022152537906958533,-0.065317775,-0.020325,0.02230004999999998,1.01,1536,0.168
sigma,b[1],0.19827133,0.025376567966891927,0.14649717499999998,0.198278,0.24706834999999994,1,1564,1
sigma,b[2],0.006037052435173333,0.028180182413555445,-0.049942667499999996,0.005948685,0.0626507774999999,1,1420,0.5993333333333334
sigma,b[3],-0.04373399553166667,0.03522289465623789,-0.11188287499999999,-0.04491675,0.027379562499999975,1,1520,0.1
sigma,sigma,0.14614410133333333,0.014123438980390722,0.12026732500000001,0.14536549999999998,0.17553497499999998,1,1610,1
sigma,sigma_r,0.10587660718,0.03263071653013103,0.0421597425,0.105138,0.17410014999999995,1,1303,1
sigma,b_raw[1],-0.16891212995,1.7140119641042164,-3.63262325,-0.1564025,3.2124857499999955,1,1421,0.45666666666666667
sigma,b_raw[2],7.858261651166667e-5,3.668135921771435e-4,-6.5008985e-4,7.743235e-5,8.155077749999987e-4,1,1420,0.5993333333333334
