response,parameter,mean,sd,low,median,high,Rhat,n.eff,prob_positive
cv,a[1],0.021319475179333334,0.024712297457935975,-0.0272736225,0.02107435,0.06940632499999999,1,1723,0.8053333333333333
cv,a[2],0.017726012576066666,0.03803937268359005,-0.0540228175,0.016676450000000002,0.09552406249999999,1,1355,0.6633333333333333
cv,a[3],-0.077104344538,0.036839077775495936,-0.15833245,-0.07665620000000001,-0.009286486500000002,1,1500,0.011333333333333334
cv,a[4],0.063067818308,0.04316725382045718,-0.0248483325,0.06423555,0.14861792499999976,1.01,1500,0.9226666666666666
cv,a[5],0.006550239635333333,0.028147667353562528,-0.04768331,0.006875455,0.06395862249999994,1,1644,0.592
cv,b[1],0.5278509146666667,0.0321094441853584,0.462273675,0.5285789999999999,0.5893311749999999,1,1596,1
cv,b[2],0.0310344383174,0.03593477307126956,-0.04011543,0.0317326,0.09865168999999996,1,1150,0.8093333333333333
cv,b[3],0.09601932841133333,0.04400974704987693,0.011212725,0.09579019999999999,0.18343332499999998,1,1506,0.9833333333333333
cv,sigma,0.18472915066666667,0.018500760968572175,0.151833675,0.183972,0.22677014999999998,1,1589,1
cv,sigma_r,0.13227288953333333,0.044829251278727965,0.041596035,0.13072450000000002,0.226177075,1,1168,1
cv,b_raw[1],-1.3597152860733333,2.186541611680702,-5.48950275,-1.39546,2.95472125,1,1151,0.25066666666666665
cv,b_raw[2],4.03966630546e-4,4.677528872534256e-4,-5.221709999999999e-4,4.130545e-4,0.0012841199999999993,1,1150,0.8093333333333333
mu,a[1],-0.061514616424666664,0.020145489861954278,-0.1024391,-0.0609821,-0.023897325000000004,1,1500,6.666666666666666e-4
mu,a[2],0.0512683031212,0.02528488543336276,0.0037489615,0.050549949999999996,0.10294754999999986,1,1532,0.982
mu,a[3],-0.0022385857944,0.023044909756799913,-0.04661636,-0.002258495,0.04296947249999994,1,1543,0.462
mu,a[4],-0.007468701630733333,0.030060550126521264,-0.0679949675,-0.007797765,0.052165184999999975,1,1396,0.39866666666666667
mu,a[5],0.07134230425333334,0.022317183751284535,0.0279004725,0.07111475,0.11561179999999988,1,1655,0.9986666666666667
mu,b[1],0.20935953733333335,0.021455734943255686,0.1652772,0.2093775,0.25173247499999996,1,1585,1
mu,b[2],-0.015477954925446666,0.024005763391977467,-0.06339924,-0.0156403,0.03328963499999987,1,1328,0.258
mu,b[3],-0.031848462231333335,0.02974155717865916,-0.09071958499999999,-0.03110535,0.025975152499999897,1,1432,0.13733333333333334
mu,sigma,0.160302118,0.014432840289860865,0.134516425,0.159536,0.19153119999999996,1,1500,1
mu,sigma_r,0.06921759772413333,0.032825668855333896,0.0067055225,0.06934075,0.13607847499999998,1,1409,1
mu,b_raw[1],1.1507544087666666,1.4618122186528084,-1.850678,1.169875,4.0858747499999986,1,1326,0.7866666666666666
mu,b_raw[2],-2.0147221460133332e-4,3.1247628326557317e-4,-8.252502999999999e-4,-2.035855e-4,4.333221249999984e-4,1,1328,0.258
sigma,a[1],-0.031042869238,0.010025129538688844,-0.0497922225,-0.0312272,-0.010633260000000007,1,1500,0
sigma,a[2],0.030237501706,0.013046302030407289,0.0053767317500000005,0.029834100000000002,0.05585188999999999,1,1835,0.9953333333333333
sigma,a[3],-0.006803280830186667,0.012214346077115834,-0.0304752675,-0.0065463,0.016568242499999993,1,1535,0.286
sigma,a[4],0.0053090718632,0.015986254409501216,-0.0259362,0.00580479,0.035864234999999994,1,1623,0.6313333333333333
sigma,a[5],0.03864744882666667,0.010684952121647535,0.017324810000000003,0.03858165,0.059599932499999966,1,1500,0.9993333333333333
sigma,b[1],0.09687304606666666,0.01138635208603979,0.0739685675,0.0970132,0.12046894999999999,1,1553,1
sigma,b[2],-9.801126306666664e-5,0.012451967421310576,-0.0246246,1.30337e-4,0.024227504999999958,1,1408,0.5026666666666667
sigma,b[3],-0.0011388599971666666,0.015676820179444762,-0.0327645075,-0.0016005199999999998,0.030028824999999974,1,1500,0.4613333333333333
sigma,sigma,0.07786373766666667,0.00715109599789258,0.0653035675,0.07744505,0.09314635249999999,1,1616,1
sigma,sigma_r,0.041165790444666665,0.015461634903509883,0.009186466,0.04163695,0.07131743249999997,1,1500,1
sigma,b_raw[1],0.10283417569733333,0.7580802025558827,-1.38143475,0.08683769999999999,1.602977999999998,1,1406,0.552
sigma,b_raw[2],-1.2757618167999999e-6,1.620837734274232e-4,-3.205318e-4,1.696555e-6,3.153627749999994e-4,1,1408,0.5026666666666667
