river,n_cell,value,sd,measure,buffer,year,source
Nishibetsu,113,10.38030947,2.053468698,sst,30km,2017,modis
Onnebetsu,128,10.50042947,1.216087125,sst,30km,2017,modis
Okushibetsu,19,11.06052609,0.823806726,sst,30km,2017,modis
Yamubetsu,39,10.34307664,2.98826726,sst,30km,2017,modis
Horonai,104,10.53312474,1.56639115,sst,30km,2017,modis
Shimonaefutoro,123,10.79325177,1.617275345,sst,30km,2017,modis
Masuhoro,54,11.76666644,0.850919934,sst,30km,2017,modis
Nobusha,86,13.80587176,1.762169642,sst,30km,2017,modis
Shokanbetsu,15,13.97833309,0.504792429,sst,30km,2017,modis
Atsuta,81,13.94802445,0.940679582,sst,30km,2017,modis
Shakotan,153,14.35689509,1.833483402,sst,30km,2017,modis
Yobetsu,25,13.78999973,0.820826385,sst,30km,2017,modis
Furuu,46,14.52413016,2.692218547,sst,30km,2017,modis
Tomari,103,14.55718413,1.848373584,sst,30km,2017,modis
Chihase,10,14.0364995,0.425223625,sst,30km,2017,modis
Sukki,60,14.18191635,0.357366596,sst,30km,2017,modis
Toshibetsu,37,15.81162118,3.195904466,sst,30km,2017,modis
Futoro,13,15.49961494,0.439757147,sst,30km,2017,modis
Usubetsu,54,15.88416631,0.928894088,sst,30km,2017,modis
Kenichi,32,16.32671842,1.153306709,sst,30km,2017,modis
Toppu,17,17.67264652,2.344337303,sst,30km,2017,modis
Hime,6,17.55916643,2.624428779,sst,30km,2017,modis
Ishizaki,68,16.70580846,2.083217176,sst,30km,2017,modis
Ookamotsu,64,16.1092965,1.534961276,sst,30km,2017,modis
Kokamotsu,10,16.02249947,0.815543419,sst,30km,2017,modis
Mogusa,9,15.97944429,0.908632739,sst,30km,2017,modis
Oyobe,46,16.2193475,1.543293406,sst,30km,2017,modis
Shiotomari,124,14.49262062,1.19528971,sst,30km,2017,modis
Haraki,57,14.2690347,1.354046316,sst,30km,2017,modis
Hidakahorobetsu,93,11.00075247,1.957002769,sst,30km,2017,modis
Nikanbetsu,59,8.691948955,1.483473644,sst,30km,2017,modis
Utabetsu,42,9.015357018,1.178336384,sst,30km,2017,modis
Nishibetsu,113,10.22314137,2.83555961,sst,30km,2018,modis
Onnebetsu,129,11.47922455,1.194053494,sst,30km,2018,modis
Okushibetsu,19,11.72999959,0.456375807,sst,30km,2018,modis
Yamubetsu,40,12.8094997,3.950715625,sst,30km,2018,modis
Horonai,106,12.53966953,1.982879997,sst,30km,2018,modis
Shimonaefutoro,124,12.73108843,1.768915456,sst,30km,2018,modis
Masuhoro,54,13.31018492,0.729270278,sst,30km,2018,modis
Nobusha,86,14.74342993,1.512811821,sst,30km,2018,modis
Shokanbetsu,15,14.92733294,0.512733833,sst,30km,2018,modis
Atsuta,83,15.07385509,1.815212482,sst,30km,2018,modis
Shakotan,150,15.46739963,1.111807913,sst,30km,2018,modis
Yobetsu,25,15.51939964,0.204559574,sst,30km,2018,modis
Furuu,45,15.60033296,1.363139022,sst,30km,2018,modis
Tomari,103,16.29432003,0.9521656,sst,30km,2018,modis
Chihase,10,16.40599957,0.199409087,sst,30km,2018,modis
Sukki,63,16.2514283,1.798148353,sst,30km,2018,modis
Toshibetsu,37,17.94905379,1.302756119,sst,30km,2018,modis
Futoro,13,17.61769207,0.67543638,sst,30km,2018,modis
Usubetsu,53,17.44481112,0.52446109,sst,30km,2018,modis
Kenichi,32,16.65484327,0.935029615,sst,30km,2018,modis
Toppu,17,16.29617601,1.852832961,sst,30km,2018,modis
Hime,6,17.82833258,1.49346031,sst,30km,2018,modis
Ishizaki,68,18.04970551,1.15158892,sst,30km,2018,modis
Ookamotsu,65,17.17953811,0.869214335,sst,30km,2018,modis
Kokamotsu,10,17.07399979,0.792631093,sst,30km,2018,modis
