ID,river,site,longitude,latitude,source
1,atsuta,1,141.5001216,43.52052441,ishiyama
2,atsuta,2,141.5128596,43.4497914,ishiyama
3,atsuta,3,141.4606156,43.5038024,ishiyama
4,atsuta,4,141.4717266,43.4745864,ishiyama
5,atsuta,5,141.4872648,43.4914924,ishiyama
6,atsuta,6,NA,NA,NA
7,chihase,1,140.0337965,42.64944121,ishiyama
8,chihase,2,140.0220375,42.66715521,ishiyama
9,furuu,1,140.4618095,43.16411929,ishiyama
10,furuu,2,140.4700715,43.15689129,ishiyama
11,furuu,3,140.4513375,43.18276129,ishiyama
12,furuu,4,140.4591485,43.15866129,ishiyama
13,furuu,5,140.4355015,43.14613029,ishiyama
14,futoro,1,139.889472,42.326306,h30_report
15,futoro,2,139.8647405,42.35608017,ishiyama
16,futoro,3,139.8326825,42.38100517,ishiyama
17,futoro,4,139.864528,42.361139,h30_report
18,futoro,5,139.842417,42.371361,h30_report
19,haraki,1,141.0214048,41.75513021,ishiyama
20,haraki,2,141.0278798,41.73919921,ishiyama
21,hidakahorobetsu,1,142.927099,42.30837241,ishiyama
22,hidakahorobetsu,2,142.911822,42.33106141,ishiyama
23,hidakahorobetsu,3,142.886163,42.29814741,ishiyama
24,hidakahorobetsu,4,142.898138,42.2633664,ishiyama
25,hidakahorobetsu,5,142.902556,42.329528,h27_report
26,hidakahorobetsu,6,142.893333,42.310972,h27_report
27,hime,1,140.2369236,42.02000817,ishiyama
28,hime,2,140.2239216,41.98883316,ishiyama
29,hime,3,140.1855546,41.96785816,ishiyama
30,hime,4,140.225661,41.9943,r1_report
31,hime,5,140.216767,41.974061,r1_report
32,horonai,1,142.8622907,44.63855262,ishiyama
33,horonai,2,142.8678797,44.65144462,ishiyama
34,ishizaki,1,140.0742766,41.64651912,ishiyama
35,ishizaki,2,140.0795406,41.66936112,ishiyama
36,ishizaki,3,140.0527626,41.68126312,ishiyama
37,ishizaki,4,140.0248376,41.70186312,ishiyama
38,ishizaki,5,140.06075,41.679722,h30_report
39,kenichi,1,140.0525735,42.16603317,ishiyama
40,kenichi,2,140.0424905,42.14751916,ishiyama
41,kenichi,3,140.0183265,42.11964116,ishiyama
42,kenichi,4,140.0484985,42.14830816,ishiyama
43,kenichi,5,140.0345485,42.15057416,ishiyama
44,kenichi,6,140.043333,42.147889,h29_report
45,kenichi,7,140.028833,42.139083,h29_report
46,kenichi,8,140.022139,42.123694,h29_report
47,kokamotsu,1,140.0210376,41.53840511,ishiyama
48,kokamotsu,2,140.0117236,41.53449111,ishiyama
49,kokamotsu,3,140.0036576,41.5305771,ishiyama
50,kokamotsu,4,NA,NA,NA
51,masuhoro,1,141.8903064,45.3320386,ishiyama
52,masuhoro,2,141.8377013,45.3577246,ishiyama
53,masuhoro,3,141.8845713,45.40491161,ishiyama
54,masuhoro,4,141.837833,45.358167,h28_report
55,mogusa,1,140.0313936,41.5072271,ishiyama
56,mogusa,2,140.0265436,41.5047581,ishiyama
57,mogusa,3,140.0182186,41.5006021,ishiyama
58,nikanbetsu,1,143.1429661,42.0752054,ishiyama
59,nikanbetsu,2,143.1363351,42.09225141,ishiyama
60,nikanbetsu,3,143.1129691,42.0747944,ishiyama
61,nikanbetsu,4,143.0918971,42.0871194,ishiyama
62,nikanbetsu,5,143.1030551,42.0935054,ishiyama
63,nishibetsu,1,144.9793273,43.35954867,ishiyama
64,nishibetsu,2,144.9726742,43.39277767,ishiyama
65,nishibetsu,3,144.9510792,43.41235567,ishiyama
66,nishibetsu,4,144.9363492,43.39991767,ishiyama
67,nishibetsu,5,144.8439582,43.36923866,ishiyama
68,nishibetsu,6,144.7625,43.402278,h26_report
69,nobusha,1,141.5703016,43.74575843,ishiyama
70,nobusha,2,141.6005156,43.83876344,ishiyama
71,nobusha,3,141.6694906,43.80944945,ishiyama
72,nobusha,4,141.600917,43.822222,h27_report
73,okushibetsu,1,144.8002581,43.8646667,ishiyama
74,okushibetsu,2,144.7625081,43.8932497,ishiyama
75,okushibetsu,3,144.7790741,43.91623671,ishiyama
76,onnebetsu,2,144.9244021,44.01174173,ishiyama
77,ookamotsu,1,140.0380736,41.55588011,ishiyama
78,ookamotsu,2,140.0248576,41.55121111,ishiyama
79,ookamotsu,3,140.0092796,41.54231911,ishiyama
