response,parameter,mean,sd,low,median,high,Rhat,n.eff,prob_positive,n_total_mcmc,n_sample,n_thin,n_burn
cv,b[1],-1.2674286133333332,0.06975559725529402,-1.4060885,-1.26752,-1.1270220000000002,1,1392,0,15000,500,20,5000
cv,b[2],0.20938363066533333,0.08101596963714273,0.0505167775,0.208971,0.37665404999999985,1,1500,0.9953333333333333,15000,500,20,5000
cv,b[3],0.090716143982,0.10558023186695187,-0.11910465,0.08751715,0.3101756499999998,1,1459,0.8186666666666667,15000,500,20,5000
cv,a[1],0.08983590362066667,0.0657547829608522,-0.03621277,0.08802045,0.21971277499999986,1,1390,0.9206666666666666,15000,500,20,5000
cv,a[2],-0.0276496336826,0.08156470802308387,-0.1839341,-0.02759265,0.1328065499999996,1,1273,0.36133333333333334,15000,500,20,5000
cv,a[3],-0.0262521331022,0.07931807022769582,-0.18993207499999998,-0.0243196,0.12694344999999996,1,1472,0.378,15000,500,20,5000
cv,a[4],0.1989238223,0.11009270405295152,-0.0168617125,0.1966195,0.4141569999999998,1,1362,0.964,15000,500,20,5000
cv,sigma,0.5709795286666667,0.04989427119236292,0.48221015,0.5679325,0.6776133,1.01,1590,1,15000,500,20,5000
cv,sigma_r,0.19494057738526666,0.1096615927090845,0.014209780000000002,0.192185,0.42268379999999994,1,1500,1,15000,500,20,5000
cv,b_raw[1],-1.4331972066666667,0.09631991374435388,-1.6286117500000001,-1.4320650000000001,-1.2455952500000003,1,1500,0,15000,500,20,5000
cv,b_raw[2],0.0027254879609133332,0.0010545621233249238,6.57562925e-4,0.00272011,0.004902803999999998,1,1500,0.9953333333333333,15000,500,20,5000
richness,b[1],1.74337362,0.04778983812395904,1.651306,1.74484,1.83424025,1,766,1,15000,500,20,5000
richness,b[2],-0.12119174335333334,0.05232279831304175,-0.225914875,-0.1208065,-0.01677546250000034,1.01,787,0.008,15000,500,20,5000
richness,b[3],-0.16063025048,0.07259136471155087,-0.2986667,-0.1613765,-0.01964810750000004,1.01,584,0.01533333333333333,15000,500,20,5000
richness,a[1],0.09140023922733331,0.04453295927276622,0.00563178175,0.0899377,0.1799832,1,1315,0.9813333333333332,15000,500,20,5000
richness,a[2],0.066014889484,0.05457281307213912,-0.04281296249999999,0.0652034,0.171453425,1,1377,0.89,15000,500,20,5000
richness,a[3],-0.06519662734466666,0.0547054735635372,-0.17492245,-0.06751255,0.04061173499999998,1,1357,0.11933333333333332,15000,500,20,5000
richness,a[4],-0.15602733094,0.07578895837369287,-0.309062875,-0.15342650000000002,-0.0146327025,1.01,798,0.01533333333333333,15000,500,20,5000
richness,sigma,0.04936427131016,0.03722900136670305,0.00212677525,0.04181975,0.13744629999999994,1,1507,1,15000,500,20,5000
richness,sigma_r,0.08378261096800001,0.05613467549987032,0.004584636,0.0750198,0.2141990499999999,1,911,1,15000,500,20,5000
richness,b_raw[1],1.83932094,0.06296315172887622,1.7157885,1.83902,1.958765,1,1154,1,15000,500,20,5000
richness,b_raw[2],-0.0015775189512,6.810712768490641e-4,-0.002940675,-0.0015725,-2.1836150000000449e-4,1.01,787,0.008,15000,500,20,5000
mu,b[1],-1.0807726046666666,0.10203151994663606,-1.294041,-1.0792350000000002,-0.8711646750000002,1,1500,0,15000,500,20,5000
mu,b[2],-0.2048436614,0.11204935964821405,-0.42405364999999995,-0.204579,0.011266017499999902,1,1500,0.03666666666666667,15000,500,20,5000
mu,b[3],-0.11570399752246667,0.14564465707108348,-0.400109,-0.11613,0.17685994999999977,1,1500,0.21,15000,500,20,5000
mu,a[1],-0.1915209708,0.07452448587162727,-0.3425341,-0.19348549999999998,-0.048195077500000474,1,1500,0.0026666666666666666,15000,500,20,5000
mu,a[2],0.32128926060133334,0.10909289558057714,0.11376947500000001,0.32100799999999996,0.5443149249999987,1,1427,0.996,15000,500,20,5000
mu,a[3],-0.09029781685606666,0.10743105449616355,-0.300449425,-0.08812995,0.11537622499999964,1,1500,0.198,15000,500,20,5000
mu,a[4],0.1553866142336,0.15350835712238997,-0.14487745000000002,0.15387699999999999,0.4632576249999999,1,1367,0.856,15000,500,20,5000
mu,sigma,0.5841362666666666,0.05296467810087312,0.4942841,0.5799380000000001,0.7007057749999999,1,1384,1,15000,500,20,5000
