response,parameter,mean,sd,low,median,high,Rhat,n.eff,prob_positive,n_total_mcmc,n_sample,n_thin,n_burn
cv,b[1],-0.729340002,0.07900777362685467,-0.887031,-0.7289665,-0.5762065000000001,1,1417,0,15000,500,20,5000
cv,b[2],0.077914690238,0.08731328238418082,-0.0931983975,0.08019760000000001,0.24916737499999997,1,1420,0.8106666666666666,15000,500,20,5000
cv,b[3],-0.18775230596233333,0.11435195299338984,-0.403241075,-0.19154500000000002,0.044673077499999374,1,1500,0.05533333333333333,15000,500,20,5000
cv,a[1],0.09900256387893333,0.06648975534905854,-0.02765883,0.0981372,0.22812339999999948,1,1861,0.9313333333333333,15000,500,20,5000
cv,a[2],-0.12983284920133334,0.08884388963920589,-0.30096795,-0.12980049999999999,0.05105127499999983,1,1471,0.07133333333333333,15000,500,20,5000
cv,a[3],0.119559514074,0.08565382264647362,-0.050086355,0.120748,0.2860294,1,1595,0.9173333333333333,15000,500,20,5000
cv,a[4],-0.006082391735533333,0.12202361201697148,-0.23905735,-0.005496165000000001,0.24487742499999954,1,1640,0.482,15000,500,20,5000
cv,sigma,0.576524644,0.052535302112769695,0.49052212500000003,0.5704005,0.68805195,1,1500,1,15000,500,20,5000
cv,sigma_r,0.2754824479046667,0.10270484979940069,0.052037345,0.2776645,0.4707174749999997,1,1429,1,15000,500,20,5000
cv,b_raw[1],-0.7910249406666666,0.10729270412891709,-0.998227875,-0.789959,-0.5859593000000001,1,1337,0,15000,500,20,5000
cv,b_raw[2],0.0010141937453466666,0.001136532757399089,-0.0012131385,0.0010439099999999999,0.003243341999999999,1,1420,0.8106666666666666,15000,500,20,5000
mu,b[1],-1.9967575066666667,0.213831502657589,-2.4297695,-1.984675,-1.5954292500000002,1,1500,0,15000,500,20,5000
mu,b[2],-0.06099874553666667,0.24062850217454043,-0.5581593250000001,-0.0626891,0.40669842499999953,1,1662,0.39666666666666667,15000,500,20,5000
mu,b[3],0.09752898101,0.28651114818915724,-0.46316959999999996,0.09391085,0.6603605749999991,1,1477,0.6326666666666667,15000,500,20,5000
mu,a[1],-0.233389663584,0.11937710138135975,-0.466539025,-0.2323225,-0.005652317750000279,1,1981,0.022,15000,500,20,5000
mu,a[2],0.26344891729,0.20674557319365097,-0.14277685,0.26560300000000003,0.6720777999999998,1,1500,0.8986666666666666,15000,500,20,5000
mu,a[3],-0.20922406186066667,0.20203014488471413,-0.628031675,-0.203233,0.18319069999999954,1,1841,0.15066666666666667,15000,500,20,5000
mu,a[4],0.3394227020712667,0.29312270241298166,-0.254576175,0.33768200000000004,0.8973222249999985,1,1762,0.8753333333333333,15000,500,20,5000
mu,sigma,0.894175532,0.07928688606948002,0.756878025,0.8851249999999999,1.0645289999999998,1.01,1607,1,15000,500,20,5000
mu,sigma_r,1.0678995353333334,0.20047333324813177,0.7319549000000001,1.053265,1.547586,1,1614,1,15000,500,20,5000
mu,b_raw[1],-1.948464978,0.28764201007508655,-2.5276845,-1.94833,-1.3915237500000002,1,1718,0,15000,500,20,5000
mu,b_raw[2],-7.940034075866666e-4,0.0031321941138645767,-0.00726539925,-8.16007e-4,0.005293873749999993,1,1662,0.39666666666666667,15000,500,20,5000
sigma,b[1],-2.711591,0.16793235960529387,-3.0414075,-2.707375,-2.3869937500000002,1,1500,0,15000,500,20,5000
sigma,b[2],0.011347661726666666,0.18237029585644085,-0.35143647499999997,0.006591815,0.3755528499999998,1.01,1500,0.5126666666666667,15000,500,20,5000
sigma,b[3],-0.10648952879333333,0.2433645181579164,-0.5483554,-0.11667,0.4086297499999998,1,1594,0.31266666666666665,15000,500,20,5000
sigma,a[1],-0.10881318251933333,0.11881169065151419,-0.332566775,-0.1119725,0.1281126249999999,1,1500,0.182,15000,500,20,5000
sigma,a[2],0.05032543612,0.18844959828104366,-0.31711055,0.0508212,0.4331884249999993,1,1559,0.5933333333333334,15000,500,20,5000
sigma,a[3],-0.02037568795,0.17820110587950747,-0.399798475,-0.012309549999999999,0.3123132249999998,1,1508,0.4673333333333333,15000,500,20,5000
sigma,a[4],0.36216257928266665,0.24489071106776025,-0.1043457,0.3611185,0.8597067249999977,1,1442,0.9386666666666666,15000,500,20,5000
sigma,sigma,0.981761744,0.09449913179292642,0.820784775,0.9731835,1.19077675,1,1567,1,15000,500,20,5000
sigma,sigma_r,0.7115050892333333,0.21090461282838996,0.299086175,0.7071335,1.1436852499999999,1,1406,1,15000,500,20,5000
sigma,b_raw[1],-2.720574953333333,0.22514886355158492,-3.179142,-2.7187900000000003,-2.28642225,1,1418,0,15000,500,20,5000
sigma,b_raw[2],1.4770928818666666e-4,0.002373862908867741,-0.004574548499999999,8.5803799999999993e-005,0.004888466749999999,1.01,1500,0.5126666666666667,15000,500,20,5000
