response,parameter,mean,sd,low,median,high,Rhat,n.eff,prob_positive,n_total_mcmc,n_sample,n_thin,n_burn
cv,b[1],-1.3646174533333333,0.10456272946470888,-1.57584925,-1.366325,-1.1542145000000001,1,1601,0,15000,500,20,5000
cv,b[2],0.13307705234333334,0.11407173147409194,-0.104392025,0.1367475,0.3513551999999996,1,1500,0.8766666666666667,15000,500,20,5000
cv,b[3],0.27473744462,0.14159945572092206,-0.004389869499999997,0.2713365,0.554700875,1,1500,0.9726666666666667,15000,500,20,5000
cv,a[1],-0.021165554943933334,0.07450471272991151,-0.16475582500000002,-0.0213599,0.1208480749999998,1,1440,0.39266666666666666,15000,500,20,5000
cv,a[2],0.12240455499733334,0.12841819006547384,-0.10416937500000001,0.1108355,0.4034541999999998,1,1500,0.8346666666666667,15000,500,20,5000
cv,a[3],-0.24912805784,0.12891418984710246,-0.5255371,-0.240002,-0.015697705000000062,1,1500,0.02,15000,500,20,5000
cv,a[4],0.1912930419,0.15213486206109733,-0.12996645,0.197401,0.46566899999999994,1,1500,0.8946666666666667,15000,500,20,5000
cv,sigma,0.5829495166666667,0.05986960302087897,0.479283825,0.5774954999999999,0.71583825,1,1500,1,15000,500,20,5000
cv,sigma_r,0.43716657827333333,0.1488464016044499,0.152512925,0.42769250000000003,0.7493497749999999,1,1418,1,15000,500,20,5000
cv,b_raw[1],-1.4699743973333332,0.1415385262897125,-1.74851825,-1.473195,-1.17975,1,1538,0,15000,500,20,5000
cv,b_raw[2],0.00173222666198,0.0014848398210125517,-0.00135884525,0.00178,0.004573491999999995,1,1500,0.8766666666666667,15000,500,20,5000
mu,b[1],-2.12945914,0.12609132228917058,-2.3826022499999997,-2.129035,-1.886824,1.01,1500,0,15000,500,20,5000
mu,b[2],-0.17799448717933333,0.14164168269467264,-0.454693325,-0.1786905,0.09065092749999987,1,1419,0.104,15000,500,20,5000
mu,b[3],-0.23426419282733332,0.17829940839544609,-0.574613125,-0.23493150000000002,0.11554237499999999,1,1500,0.09933333333333333,15000,500,20,5000
mu,a[1],-0.31149401460666665,0.10175679536598355,-0.5102430250000001,-0.3079385,-0.11552622500000001,1,1500,0.0013333333333333333,15000,500,20,5000
mu,a[2],0.43779326226666665,0.1368764481766238,0.177543375,0.43747400000000003,0.70326715,1,1702,0.9993333333333333,15000,500,20,5000
mu,a[3],-0.03439599286,0.12792455541394246,-0.2829715,-0.034585950000000004,0.21412322499999997,1.01,1429,0.3973333333333333,15000,500,20,5000
mu,a[4],-0.06056630305,0.1925145559512648,-0.42576052499999995,-0.06755245,0.3494963499999997,1,1635,0.3606666666666667,15000,500,20,5000
mu,sigma,0.858007888,0.07908130502420707,0.72106665,0.8510705000000001,1.0284827499999998,1,1500,1,15000,500,20,5000
mu,sigma_r,0.4560267454133333,0.17127430514054892,0.0757417225,0.4622145,0.7801433249999996,1,1500,1,15000,500,20,5000
mu,b_raw[1],-1.98854106,0.17498223331258456,-2.3372615,-1.98602,-1.6413977499999999,1,1500,0,15000,500,20,5000
mu,b_raw[2],-0.0023169044788,0.0018437101923977483,-0.0059186212500000005,-0.00232596,0.0011799764999999981,1,1419,0.104,15000,500,20,5000
sigma,b[1],-3.4838446333333333,0.14674395122098055,-3.77669275,-3.48027,-3.19720025,1,1595,0,15000,500,20,5000
sigma,b[2],-0.036071284402,0.1543995162289156,-0.33708465,-0.03434475,0.2631946,1,1500,0.3973333333333333,15000,500,20,5000
sigma,b[3],0.040882579112,0.199818414163609,-0.3238426,0.0280299,0.469458174999999,1,1413,0.5693333333333334,15000,500,20,5000
sigma,a[1],-0.3162289412,0.11611274518785407,-0.5444145499999999,-0.3141985,-0.08664894000000008,1,1500,0.002,15000,500,20,5000
sigma,a[2],0.5236737893333333,0.17638879275494293,0.21276185,0.5123635,0.8942224999999999,1,1500,1,15000,500,20,5000
sigma,a[3],-0.23519163226866666,0.16864042398541748,-0.5795529749999999,-0.22773949999999998,0.0842419449999993,1,1501,0.06866666666666667,15000,500,20,5000
sigma,a[4],0.1443020344162,0.21077375164977677,-0.252850725,0.1441965,0.5709891249999999,1,1500,0.76,15000,500,20,5000
sigma,sigma,0.9481775333333333,0.08730312108690749,0.7952969999999999,0.9417275,1.1373307499999998,1,1686,1,15000,500,20,5000
sigma,sigma_r,0.55501836048,0.19399644035982136,0.1660758,0.5494745,0.9400579999999998,1,1500,1,15000,500,20,5000
sigma,b_raw[1],-3.4552870733333334,0.19719196453630258,-3.83643475,-3.4541700000000004,-3.0735027500000003,1,1365,0,15000,500,20,5000
sigma,b_raw[2],-4.6952975591333334e-4,0.002009775585366986,-0.0043877377500000005,-4.47056e-4,0.0034259359999999997,1,1500,0.3973333333333333,15000,500,20,5000
