response,parameter,mean,sd,low,median,high,Rhat,n.eff,prob_positive,n_total_mcmc,n_sample,n_thin,n_burn
richness,b[1],1.74337362,0.047789838123959046,1.651306,1.74484,1.8342402500000001,1,766,1,15000,500,20,5000
richness,b[2],-0.12119174335333334,0.05232279831304175,-0.22591487500000001,-0.1208065,-0.016775462500000345,1.01,787,0.008,15000,500,20,5000
richness,b[3],-0.16063025048,0.07259136471155087,-0.2986667,-0.1613765,-0.019648107500000046,1.01,584,0.015333333333333332,15000,500,20,5000
richness,a[1],0.09140023922733333,0.04453295927276622,0.00563178175,0.0899377,0.1799832,1,1315,0.9813333333333333,15000,500,20,5000
richness,a[2],0.066014889484,0.05457281307213912,-0.042812962499999996,0.0652034,0.171453425,1,1377,0.89,15000,500,20,5000
richness,a[3],-0.06519662734466666,0.0547054735635372,-0.17492245,-0.06751255,0.04061173499999998,1,1357,0.11933333333333333,15000,500,20,5000
richness,a[4],-0.15602733094,0.07578895837369287,-0.309062875,-0.15342650000000002,-0.0146327025,1.01,798,0.015333333333333332,15000,500,20,5000
richness,sigma,0.04936427131016,0.03722900136670305,0.00212677525,0.04181975,0.13744629999999994,1,1507,1,15000,500,20,5000
richness,sigma_r,0.08378261096800001,0.05613467549987032,0.0045846360000000004,0.0750198,0.2141990499999999,1,911,1,15000,500,20,5000
richness,b_raw[1],1.83932094,0.06296315172887622,1.7157885,1.83902,1.958765,1,1154,1,15000,500,20,5000
richness,b_raw[2],-0.0015775189512,6.810712768490641e-4,-0.0029406750000000002,-0.0015725000000000001,-2.1836150000000449e-4,1.01,787,0.008,15000,500,20,5000
